epoch,train_loss,val_loss,val_mean_auc,val_auc_Atelectasis,val_auc_Cardiomegaly,val_auc_Effusion,val_auc_Infiltration,val_auc_Mass,val_auc_Nodule,val_auc_Pneumonia,val_auc_Pneumothorax,val_auc_Consolidation,val_auc_Edema,val_auc_Emphysema,val_auc_Fibrosis,val_auc_Pleural_Thickening,val_auc_Hernia
1,1.638398575832184,1.271222258578835,0.6480417900460393,0.6437362239588383,0.6537733776983723,0.6856334157682981,0.6287121159148582,0.5480461472943643,0.5829581835751592,0.6360393252731954,0.6494613972528319,0.7043688459372028,0.8230711273821457,0.5883244320430258,0.644442806270513,0.5449009808261501,0.7391166814495959
2,1.5976827415976154,1.2180666520017456,0.6744797323869978,0.6602206903739263,0.6935271025586388,0.7157136710083528,0.6334332060803431,0.5721564909124647,0.5877816908680168,0.6498511532665184,0.6975007813302416,0.7165665485230249,0.8408012506871527,0.655828413755319,0.6463380639413759,0.5628919720889097,0.8101052180236835
3,1.5712198302943994,1.1877214243174832,0.6883916345699357,0.6619611368906273,0.7163581602714354,0.731556610841688,0.6305222879830779,0.6138354911514974,0.5898298945611264,0.6461040789524074,0.7090036376093607,0.7224837982129171,0.8546383347740253,0.6636204585623598,0.6491827543096668,0.6157472137666901,0.8326390260922203
4,1.544214232888786,1.139378306595141,0.7006992149237081,0.6683807990046018,0.7460595977642643,0.7534712643034294,0.6455427601388689,0.6191379724116287,0.581200377308797,0.6367503317091413,0.7478775893410039,0.7280097099145242,0.8441201929536486,0.7261551013991405,0.6561632192057908,0.631818259413001,0.8251018340640724
5,1.524476754472261,1.2063078958211353,0.7064901103996858,0.6769457150661621,0.7641518464488845,0.775206020462337,0.6471173949927637,0.6429852528668791,0.586501421076671,0.61607820676574,0.7510757348475805,0.7287929630148328,0.8561334243327535,0.7067101593460849,0.6571014679588412,0.6387855088507733,0.8432764295652977
6,1.5080152853471172,1.157207090882933,0.7088844442391825,0.6807403233846985,0.7782246881607632,0.7698887220108873,0.6486316062137005,0.6361027216295212,0.5846086413584405,0.637581294082399,0.7429767573324325,0.7289291161234521,0.8595280673364003,0.7148297824320208,0.6624649509614102,0.637719398553841,0.8421561497685875
7,1.4921588327763624,1.19872730598647,0.7186585531430899,0.6903471532447598,0.7875570817420381,0.7878692390758686,0.6471705117661053,0.645860606442549,0.5913185920599403,0.6462412116788651,0.7607217619700815,0.7328666390160272,0.8595841492961219,0.7450835425819714,0.6703970131893578,0.6473874685387555,0.8488147734008165
8,1.485067460290458,1.1418399225225702,0.7201085520452428,0.6915744234002834,0.8030956088445967,0.7827519227434044,0.6503623277450788,0.6597091393521803,0.587612219730611,0.6301269899732606,0.7679407107580719,0.7332290727237469,0.8613536044846543,0.7329899665235915,0.6580719457128934,0.662360542179874,0.8603412544611517
9,1.4693730827615363,1.149163568146801,0.7216985570730017,0.7003005761508394,0.8030818403842056,0.7864412086474826,0.6423745163797067,0.6406437042603501,0.5848108668581105,0.6498531243734695,0.7567190861794281,0.7322801851105154,0.8649616760063937,0.7406755736921242,0.666973523635162,0.6555553489903522,0.8791085683538823
10,1.4595419988105824,1.102257086594561,0.7214338023944649,0.704072201956913,0.8166417249913948,0.7991008893851415,0.6548761303632549,0.6473550375561258,0.5863121699252061,0.6283605965583345,0.7632194234844514,0.7330588693145618,0.8604477718419417,0.7512737937039522,0.6627223019395605,0.6625428262282308,0.8300894962734409
11,1.4501351388808452,1.1605122532422396,0.7244118776340442,0.701230869153135,0.809375174154633,0.7892643230351908,0.6479198282377964,0.6498695744615163,0.5899404614871728,0.6521322871823984,0.7620155378941629,0.7341449680965998,0.8670822874939607,0.7356581607643538,0.6706407750738019,0.658524567890928,0.8739674719509682
12,1.4430974774751222,1.2015643923776578,0.7264497548058689,0.7013490934316537,0.7984608008654461,0.8028898991653781,0.6489211983334334,0.6578291846378752,0.588122409991549,0.6543832913205967,0.7656354129851344,0.7373588740085013,0.8735374597765521,0.7591732038943693,0.6695377735917489,0.656802749484191,0.856295215795735
13,1.4328365955279514,1.1509420613949517,0.7257003072862924,0.7034957638361709,0.8267430215214149,0.7993361581306689,0.6483586494217379,0.6589848403685621,0.586274856102074,0.6455865225843802,0.7679755501437853,0.7347823050783812,0.8652247459764661,0.7499022494270754,0.6660452562518249,0.6581892307192234,0.8489051524463296
14,1.427013091084907,1.1150105341539072,0.7243779625893174,0.7052594123164082,0.8279158812634202,0.8021872807023686,0.6505943370543087,0.6575825131905567,0.5851104502574889,0.63923378567422,0.7673470649272456,0.7367689573605594,0.8692770143629268,0.7453667577880808,0.6711934783894928,0.6329835210075643,0.8504710219558026
15,1.4215509501245627,1.1462000338908638,0.7326502972546228,0.7158740213579361,0.8239279450572867,0.8004686100857619,0.6508410790009206,0.6606386132799632,0.5904409964192141,0.6524241518045202,0.7731474294274371,0.7382747212877093,0.8669923185550434,0.7713175528991691,0.6806921346325628,0.6693503578917535,0.8627142298654403
test,,1.1602577405315975,0.7133133415225453,0.7292223947343012,0.8200071571702426,0.8102453300790184,0.6423185663844434,0.6366818763403383,0.5564343082219531,0.6148637017456329,0.7667302184031506,0.7549859035482959,0.867206599791701,0.7524798524580001,0.6705485774848325,0.6767519476186054,0.6879103473351192
