run_name,phase,epoch,train_loss,loss,mean_auc,auc_Atelectasis,auc_Cardiomegaly,auc_Effusion,auc_Infiltration,auc_Mass,auc_Nodule,auc_Pneumonia,auc_Pneumothorax,auc_Consolidation,auc_Edema,auc_Emphysema,auc_Fibrosis,auc_Pleural_Thickening,auc_Hernia
simple_cnn_224_2blocks,val,1,3.4255602624681263,1.4221876205182542,0.5312543726918858,0.5421312519910799,0.4663540909991415,0.44967032967032966,0.6036955632794929,0.47884615384615387,0.5204138139347564,0.527431421446384,0.5595835703157843,0.33162617839013775,0.5965608465608465,0.5971177944862155,0.5664326036073248,0.566862218323373,0.6308353808353808
simple_cnn_224_2blocks,val,2,2.8048360212884766,1.4864732260797537,0.5341512472108061,0.5395985982797069,0.43848642937330773,0.46406972338006824,0.6075853608668983,0.4846153846153846,0.5485803463552155,0.5587816173851087,0.5584213259477238,0.34146120377084843,0.5664160401002507,0.5851434140907825,0.6019551149662674,0.5552387740555952,0.6277641277641277
simple_cnn_224_2blocks,val,3,2.490873695623995,1.5621571236965703,0.5403555892141687,0.550087607518318,0.42078848312751765,0.5336870026525199,0.6124923328562666,0.49173789173789173,0.5603604510672573,0.5577128607053794,0.5580751254976631,0.38546954314720816,0.5694792536897799,0.5843776106934002,0.5897012253889578,0.5490432589506004,0.6019656019656019
simple_cnn_224_2blocks,val,4,2.388746295794092,1.6280271960239785,0.5419427394277353,0.5523892959541256,0.4063923925245988,0.5625767336112164,0.6117971784911062,0.4760683760683761,0.5676097462746676,0.553081581759886,0.5594846559014813,0.4191443074691805,0.6268448900027848,0.5792954608744083,0.5190692551287346,0.5471791216623718,0.6062653562653563
simple_cnn_224_2blocks,val,5,2.31117754512363,1.6768713464923934,0.5476529611528231,0.5586014654348519,0.39926038433599687,0.570079575596817,0.611071355551012,0.48863960113960114,0.5745569875151026,0.5603847524047025,0.5616855016197235,0.446972443799855,0.6213450292397661,0.5776246170983013,0.5143879939418973,0.5535391194692691,0.628992628992629
simple_cnn_224_2blocks,val,6,2.2990071701280996,1.7053628645691217,0.5433722123519773,0.5605766167569289,0.3469589909529155,0.572807881773399,0.6131363729298711,0.4967948717948718,0.5482531212243253,0.5545065906661917,0.563663789905784,0.5149564902102973,0.641186299081036,0.5326510721247564,0.5043370508054523,0.5486594659794944,0.6087223587223587
simple_cnn_224_2blocks,val,7,2.265555493036906,1.7245150430529725,0.5522833411491382,0.56909843899331,0.3881661493759493,0.5756877605153468,0.6128501328971581,0.4969373219373219,0.5681383407168747,0.5571784823655148,0.5500136007319667,0.49877628716461203,0.638401559454191,0.5398217766638819,0.5175547294506402,0.5559515324305061,0.6633906633906634
simple_cnn_224_2blocks,val,8,2.2594975938700665,1.7378478564468085,0.5502714057198619,0.5708665179993628,0.3547513702700918,0.5859946949602122,0.6141995501942343,0.5013888888888889,0.5593536045106725,0.5545065906661917,0.5609065506070872,0.5356236403190717,0.6420913394597605,0.4958228905597326,0.510257469365276,0.5571029113438237,0.6609336609336609
simple_cnn_224_2blocks,val,9,2.2426672959568523,1.772411540442822,0.561010536317572,0.5770786874800892,0.4159017367760681,0.5773095869647593,0.6133919443876508,0.49889601139601136,0.594316351188079,0.5578019237620235,0.5575558248225723,0.5789068165337201,0.6526037315511,0.47173489278752434,0.5181054660608564,0.5568836010746203,0.6836609336609336
simple_cnn_224_2blocks,val,10,2.2443433376273725,1.7941655411439783,0.560146518254597,0.5814749920356802,0.39582645446741066,0.5828268283440697,0.6157074217951339,0.52752849002849,0.5625503423278293,0.5568222301389384,0.5671257944063899,0.5785442349528644,0.6602617655249233,0.4807156780840991,0.4940107393638992,0.5623663578047042,0.6762899262899262
simple_cnn_224_2blocks,val,11,2.2377646330631142,1.720556946361766,0.5731194545998892,0.573781459063396,0.5685135045895793,0.5777491474043198,0.6150582702923737,0.5314814814814814,0.5535642368103102,0.5460456002850018,0.5566161378866936,0.5587835387962291,0.6310916179337233,0.5185881370091896,0.5525265041993667,0.5660398048138604,0.6738329238329238
simple_cnn_224_2blocks,val,12,2.241723995979386,1.7603442201427384,0.5750279694280527,0.5798343421471805,0.5527306346166545,0.5822356953391437,0.6170517276630546,0.5297720797720797,0.5665022150624245,0.5635019593872461,0.5884913078958433,0.5963107324147933,0.6670843776106934,0.4686020607073238,0.48657579512598104,0.5606667032183782,0.691031941031941
simple_cnn_224_2blocks,val,13,2.2416134429700447,1.7945851227816414,0.5727466266762367,0.578544122331953,0.5434854388166149,0.5836907919666541,0.6150071560008178,0.5229700854700854,0.5678866290777285,0.5455112219451371,0.5956131457256608,0.6032904278462655,0.649749373433584,0.5048732943469785,0.4617926476662536,0.5617632545643949,0.6842751842751843
simple_cnn_224_2blocks,val,14,2.224684225429188,1.7767872506496953,0.5803292529396838,0.5901242433896146,0.6282110546126923,0.5783857521788557,0.616959721938254,0.5221509971509972,0.5407269432138542,0.5570894193088707,0.5705136130962685,0.6172951414068166,0.6512113617376775,0.4878167641325536,0.5004818945339391,0.5640111848237294,0.6996314496314496
simple_cnn_224_2blocks,val,15,2.2289042665500833,1.7629731239057054,0.5741447294162789,0.5990602102580439,0.5253912698936802,0.5880409245926488,0.6177008791658148,0.5293803418803419,0.5473217881594845,0.5697363733523334,0.5460817527634214,0.6123096446700508,0.6626287942077416,0.45871623503202447,0.4978658956354124,0.564504632929437,0.7192874692874692
simple_cnn_224_2blocks,test,,,1.743,0.5802,0.5671,0.7022,0.6181,0.5997,0.4871,0.5522,0.5594,0.5892,0.553,0.7312,0.4185,0.5249,0.6394,nan
