run_name,phase,epoch,epoch_seconds,train_loss,loss,mean_auc,auc_Atelectasis,auc_Cardiomegaly,auc_Effusion,auc_Infiltration,auc_Mass,auc_Nodule,auc_Pneumonia,auc_Pneumothorax,auc_Consolidation,auc_Edema,auc_Emphysema,auc_Fibrosis,auc_Pleural_Thickening,auc_Hernia
sample_dataset_simple_cnn,val,1,114.0,2.4557587825890743,1.678676581850239,0.5988505335569858,0.5010831474992036,0.6794558541900547,0.5465100416824555,0.6358004498057657,0.4752492877492877,0.5748590414820781,0.5596722479515497,0.5916318405499642,0.6710931834662799,0.6769702032859928,0.5731690336953494,0.5631281839460278,0.5459729151817534,0.7893120393120393
sample_dataset_simple_cnn,val,2,83.3,2.153768057775016,1.7111834077274095,0.6026011183275873,0.5403791016247212,0.6381166215413061,0.5422205380826071,0.6293293804947863,0.4734686609686609,0.5348872331856626,0.5683113644460277,0.5916812977571158,0.7260696156635242,0.7355889724310778,0.4798802561960457,0.5565193446234338,0.5477273973353802,0.8722358722358723
sample_dataset_simple_cnn,val,3,82.9,2.1130842223311914,1.6865205273908728,0.6216333183635349,0.6147499203568014,0.6333619494155716,0.5965744600227358,0.6544980576569208,0.466096866096866,0.5604359645590012,0.5830067687923048,0.5783773090333588,0.7553480783176214,0.7530632135895294,0.5400306321358953,0.6077378493735371,0.5303470585010144,0.8292383292383292
sample_dataset_simple_cnn,val,4,92.7,2.0873098397495773,1.7239795549243104,0.6144616384765393,0.5753265371137305,0.6987386911444231,0.579386131110269,0.648333674095277,0.5117877492877493,0.5876459927507048,0.5991271820448878,0.5715027572392987,0.6312092095721538,0.751113895850738,0.5253411306042886,0.5625774473358116,0.5391194692691486,0.8212530712530712
sample_dataset_simple_cnn,val,5,79.9,2.0736873255835637,1.7366810522827447,0.5915347695925641,0.6032255495380695,0.67932377996434,0.5336263736263737,0.64922306276835,0.4999643874643874,0.4965767217076118,0.517100106875668,0.5652958777417839,0.6773930384336475,0.6807992202729045,0.613338902812587,0.5445408233512323,0.5435605022205164,0.6775184275184275
sample_dataset_simple_cnn,val,6,80.9,2.064215470323659,1.6714638448229022,0.6315630069212574,0.6118190506530742,0.7361817341345835,0.6312087912087913,0.655663463504396,0.5227920227920229,0.620897100281917,0.6134663341645885,0.5406661885803308,0.623776287164612,0.7463102199944305,0.5584099136730716,0.5486713479278534,0.5419705027687921,0.89004914004914
sample_dataset_simple_cnn,val,7,79.9,2.029759656540071,1.6898337135127943,0.6220202454142526,0.6483115641924179,0.6456448524070527,0.6089730958696475,0.6681455735023513,0.4987179487179487,0.5727194925493355,0.6544353402208762,0.5705136130962685,0.694615663524293,0.7513227513227513,0.5048732943469786,0.5282940933498554,0.5208070617906684,0.8409090909090908
sample_dataset_simple_cnn,val,8,83.5,2.023360072482716,1.7007668205336028,0.6283009627869519,0.5491398534565148,0.743842039226045,0.6305721864342553,0.6245041913719076,0.4620726495726495,0.632073097060008,0.6787495546847168,0.5167783575261505,0.7502266134880348,0.7700501253132832,0.5022277917014759,0.6256367892055624,0.5148856845221778,0.7954545454545454
sample_dataset_simple_cnn,val,9,83.4,1.9678680525885688,1.6209381024042766,0.6397038963320527,0.6462249123924817,0.6659182460542825,0.6271011746873816,0.6636066244121857,0.5173433048433047,0.5961286749899315,0.6433915211970075,0.5942283439254186,0.7598350253807107,0.7598162071846282,0.5098162071846283,0.5822662811510395,0.5277701628378748,0.8624078624078624
sample_dataset_simple_cnn,val,10,83.4,1.9756772065403485,1.645403548782947,0.6401210074250313,0.625756610385473,0.7091065178630391,0.6291777188328912,0.6623594356982212,0.4871438746438746,0.6079591220298026,0.6339508371927325,0.5999159227478424,0.7092095721537346,0.7809106098579783,0.4890002784739627,0.6058102712377805,0.5338011952409671,0.8875921375921376
sample_dataset_simple_cnn,val,11,84.5,1.9658968920659536,1.6760851378534354,0.6274343883472315,0.6301847722204524,0.6923330911972527,0.6176582038651003,0.6124821099979554,0.466096866096866,0.6134716069271043,0.6434805842536515,0.5435099779915429,0.6688270485859318,0.7632275132275133,0.5267335004177109,0.5749690210656754,0.5490432589506004,0.8820638820638821
sample_dataset_simple_cnn,val,12,83.5,1.9869488210389108,1.6325077379451078,0.6358976929860294,0.6307582032494425,0.6859274912500826,0.63695339143615,0.6595277039460234,0.4861823361823361,0.6023459524768425,0.6386711791948699,0.5699695838176019,0.6976522842639593,0.7587023113338902,0.5233918128654971,0.5835054385240259,0.5463018805855585,0.8826781326781328
sample_dataset_simple_cnn,val,13,83.3,1.9413007842169867,1.6174528926026588,0.6446142184041134,0.6313475629181268,0.6958330581786965,0.6310723758999621,0.6345737068084235,0.5007478632478632,0.5807239226741845,0.6025115781973637,0.5823338856054799,0.7369923857868019,0.7873155109997216,0.6378446115288221,0.5786864931846345,0.5407094687208729,0.8839066339066339
sample_dataset_simple_cnn,val,14,85.9,1.929639540778266,1.6341989484487796,0.64648431852119,0.6331156419241796,0.7263422043188272,0.6281167108753315,0.6600899611531383,0.4846866096866096,0.6181786145791381,0.6468649804061275,0.5812705556517224,0.713469905728789,0.7939988861041493,0.5727513227513228,0.6177887925099821,0.5362684357695049,0.8378378378378379
sample_dataset_simple_cnn,val,15,155.6,1.9098046090867784,1.6575319556628956,0.6391329224138097,0.6565148136349156,0.6642012811199894,0.6213717317165594,0.6244019627887958,0.4328347578347578,0.6120116794200564,0.6329711435696473,0.6000642943692971,0.7073966642494561,0.776176552492342,0.6241993873572821,0.5969984854743219,0.5430670541148088,0.8556511056511056
sample_dataset_simple_cnn,test,,1356.7,,1.6093763771620822,0.5867523385910626,0.6472181449640036,0.42863876319758676,0.6573020697640758,0.6095756062767475,0.49358449358449363,0.5540327948205966,0.5264920828258222,0.5630097239648683,0.6006322444678609,0.8184584178498986,0.4553276756247053,0.7029892248870352,0.5705191594561186,nan
