epoch,train_loss,val_loss,val_mean_auc,val_auc_Atelectasis,val_auc_Cardiomegaly,val_auc_Effusion,val_auc_Infiltration,val_auc_Mass,val_auc_Nodule,val_auc_Pneumonia,val_auc_Pneumothorax,val_auc_Consolidation,val_auc_Edema,val_auc_Emphysema,val_auc_Fibrosis,val_auc_Pleural_Thickening,val_auc_Hernia
1,1.6520975225313113,1.288883034305956,0.6354920570794705,0.6176262354114117,0.6402351970346905,0.6608973338425917,0.6152273305745649,0.5155792711740199,0.5616238136313343,0.6330308162043603,0.6612500391881916,0.6933284837074731,0.7921258995374313,0.6104535103926436,0.6734771179156898,0.5470982202773892,0.6749355302207972
2,1.6143681367582874,1.2572933430391793,0.6402273498270115,0.629791855623119,0.6444561619953678,0.6873979739037428,0.6119254861804352,0.5548666186897286,0.5629104636625258,0.6405626677527148,0.6214877048829912,0.6931698600298567,0.8011175886931321,0.5886221625337132,0.6594448450345493,0.5762419470284292,0.6911875615678548
3,1.5947861000997745,1.2904492882529002,0.6538862628544109,0.6141758143341777,0.667487189301107,0.7074680268402133,0.6307262195912637,0.5543101585098126,0.5735446847346412,0.6326905572702248,0.7085671087094687,0.6910886868749764,0.8039167770778212,0.6870423067652327,0.6782242994182425,0.5839068231968735,0.6212590273376961
4,1.5764438409347608,1.2490774729352547,0.6689660580811883,0.6421977624355724,0.6773471012294607,0.7286016924871173,0.6092837818596042,0.6055853173527266,0.5741999953790347,0.6167172480458496,0.7234300141647501,0.6789113588818538,0.8037794211985971,0.7170371164794309,0.6571126555852119,0.5967235076965993,0.7345978403408271
5,1.563991543774888,1.2701527625585272,0.6748586158688781,0.6520274045986812,0.6677444551440614,0.7344088802318273,0.6333437186957911,0.5842460700483952,0.5763917769922138,0.6154604827352709,0.740572746108969,0.7105482143755938,0.8207545020662728,0.7098192710736474,0.6614896163269621,0.6151501245617029,0.7260633592049042
6,1.5534538137050609,1.2110730491656583,0.687628696498709,0.6505277979381331,0.7155139243186459,0.7460756546549936,0.6398437224530187,0.5984180521363165,0.5830840579263675,0.6318280261731036,0.7722076632152558,0.7126785536929934,0.8244021381955209,0.755516329391464,0.6734811447900425,0.6160473643997169,0.7071773216963552
7,1.5421462675592827,1.1904281007024964,0.688697529364478,0.6493920152691315,0.7104836339970942,0.7602577180437199,0.6421855229396087,0.6031091663839178,0.5820215888932532,0.6263225476822525,0.7704943911010029,0.7180016431187963,0.8225563049028678,0.750834600891566,0.6744108494062249,0.6387811434760479,0.6929142849972079
8,1.531018404252694,1.1694930762266387,0.6966651008839629,0.6519651483543799,0.7194160045006254,0.7576358248878398,0.633584638873587,0.6388072489073497,0.5849439322874548,0.6063082994352224,0.7885227761769995,0.7172248536387044,0.8237667595709288,0.766252657670438,0.6692315339496968,0.6450340163838101,0.7506177177384441
9,1.522907721728904,1.2227735684880257,0.6912324781142355,0.6595731426862114,0.6865849197834107,0.770745726676199,0.6314415138390254,0.6288303116641801,0.5935234924742445,0.5871607224345795,0.7852552291297941,0.7233458165741466,0.8250231590627025,0.7530744539895371,0.6680019530340611,0.6401555797953301,0.7245386724558751
10,1.5137879889347525,1.2221651057778575,0.6979047881608487,0.6689196613920376,0.707756792503663,0.7635048947611406,0.6375266931753525,0.6429481324886501,0.5806713364088425,0.6225315510041856,0.7307118214386484,0.7253504591877338,0.8318184942081763,0.769042553007011,0.6662328967949855,0.6672251618621438,0.7564265860193127
11,1.5076247298613992,1.2130906190777957,0.7057254572018767,0.6588991438341265,0.7362424528679612,0.7836119306003295,0.6444692549918621,0.6435928710091734,0.5934412136195251,0.6373112705290068,0.7792047860894744,0.7287982363343862,0.8284634691749478,0.7931127535233183,0.6818939145119743,0.6641272698620272,0.706987833878163
12,1.497020603087024,1.2358319810692977,0.7081751095549543,0.6690126519689925,0.7495359239074004,0.785668055417486,0.6454564063331828,0.6345486501128156,0.5839503284736182,0.6384081034068214,0.7822528080120613,0.7255379724717939,0.8339188426805205,0.7864164711472266,0.6883740362242516,0.6541105747279672,0.7372607088852219
13,1.4934845295592816,1.1628787432428165,0.7055980354737772,0.6737517773032635,0.7493172038304177,0.7784125393435798,0.641910667289403,0.6207198722646302,0.5923154630335611,0.6389676369132029,0.7871816137554827,0.72391773209053,0.8373060290903478,0.7719238219178393,0.6730461165201261,0.6514239925734331,0.7381780307070657
14,1.4857097894239608,1.1312500113754353,0.707113549151696,0.6739513348188823,0.7331805075147277,0.7848528432393322,0.6448646791125313,0.6470158757702003,0.5844008084122106,0.6277033641319548,0.7923420573373119,0.7306329506417487,0.8425493863781639,0.77764540837118,0.6811374913327821,0.6741008111762229,0.7052121698864956
15,1.4808438332422609,1.138438872541628,0.7101146159080567,0.6772992956193506,0.7536688036493612,0.7879622878411553,0.6360232602253912,0.6286933914737389,0.5944814121670017,0.6073306096262457,0.7929251063781276,0.7241662096217284,0.8409686930056854,0.7914061352619693,0.6775573483535747,0.6701016336674801,0.7590204358219819
test,,1.1296546509996424,0.7224949388979408,0.6908111428527512,0.7334211108255021,0.7823394074974231,0.6587678628461925,0.6181764827515244,0.5742398750110341,0.6269674506590706,0.8045718740211723,0.7651760641611992,0.8571931344414966,0.8227388202274593,0.6932470482753063,0.675439609275672,0.8118392617253665
