run_name,phase,epoch,epoch_seconds,train_loss,loss,mean_auc,auc_Atelectasis,auc_Cardiomegaly,auc_Effusion,auc_Infiltration,auc_Mass,auc_Nodule,auc_Pneumonia,auc_Pneumothorax,auc_Consolidation,auc_Edema,auc_Emphysema,auc_Fibrosis,auc_Pleural_Thickening,auc_Hernia
sample_dataset_simple_cnn_224,val,1,59.8,2.496165815507523,1.6727687143811993,0.5870418637096708,0.4957151959222682,0.6925972396486825,0.5177567260325882,0.6190042936004908,0.4532407407407407,0.5731725734997986,0.5509440684004274,0.5983580207225698,0.6726794778825236,0.6439014202172098,0.579713171818435,0.5426132452154757,0.5245901639344263,0.7542997542997543
sample_dataset_simple_cnn_224,val,2,60.9,2.194457265584156,1.7071728916729199,0.5909747199299792,0.5650207072316024,0.6490127451627815,0.5374611595301251,0.6347781639746473,0.48767806267806263,0.5832913813934756,0.5638582116138225,0.5486040703281485,0.6649292965917332,0.712962962962963,0.556947925368978,0.5114966267382623,0.506990514830857,0.7506142506142506
sample_dataset_simple_cnn_224,val,3,60.8,2.1501119970071194,1.7153180253271962,0.5984977290934143,0.5992354252946798,0.6429373307798982,0.5809170140204623,0.6373849928439992,0.4997150997150997,0.5298781715666533,0.5833630210188814,0.5947352802987215,0.6821519216823786,0.7028682818156502,0.5513088276246171,0.533526091146909,0.5321015406546412,0.7088452088452089
sample_dataset_simple_cnn_224,val,4,59.3,2.125633525366735,1.7107247838787003,0.6147156672582602,0.6089200382287352,0.6727861057914548,0.5777491474043198,0.6306583520752402,0.5031339031339032,0.5567358034635521,0.6196116850730318,0.6207868641657807,0.6826051486584481,0.7361459203564467,0.556321358952938,0.5448161916563403,0.5248643017709305,0.770884520884521
sample_dataset_simple_cnn_224,val,5,59.4,2.0961683913914846,1.71838094440161,0.6170360105174028,0.612360624402676,0.696229280855841,0.6110647972716938,0.6209466366796157,0.4637108262108262,0.5602094240837696,0.6244210901318133,0.6165830015579021,0.7102973168963017,0.7260512392091341,0.5109997215260373,0.5532149249621368,0.5320467130873403,0.8003685503685504
sample_dataset_simple_cnn_224,val,6,59.3,2.100348620462899,1.7444148788265152,0.6266632630780133,0.5959381968779865,0.7384930330845936,0.5960287987874195,0.6308014720915968,0.5037393162393162,0.5504430124848974,0.619878874242964,0.6163109869185687,0.7180474981870921,0.7515316067947647,0.5208159287106656,0.5788241773371884,0.5336367125390646,0.8187960687960688
sample_dataset_simple_cnn_224,val,7,59.3,2.0736089109170317,1.79156479882259,0.6232559000635362,0.5750716788786238,0.7076537013801756,0.6177036756347101,0.6242179513391944,0.5007478632478632,0.5794150221506242,0.6390274314214464,0.607062489181236,0.6492023205221173,0.7626009468114732,0.5299359509885826,0.5745559686080133,0.5377487800866274,0.8206388206388207
sample_dataset_simple_cnn_224,val,8,60.1,2.057106539697358,1.830501724691952,0.6097348212979181,0.6193055113093342,0.6025226177111537,0.5721561197423266,0.6505315886321814,0.5069800569800569,0.5243656866693516,0.5793551834698967,0.6107717797175993,0.7374456127628717,0.7415761626287942,0.5873015873015873,0.5175547294506402,0.5401063654805636,0.7463144963144963
sample_dataset_simple_cnn_224,val,9,59.6,2.057820952540696,1.662957516371035,0.6407818421350913,0.6346288626951258,0.6924651654229678,0.6150056839712011,0.6424759762829687,0.5185185185185186,0.5635068465565848,0.6243320270751692,0.6114394520141447,0.7287889775199421,0.7736006683375104,0.6146616541353384,0.567258708522649,0.5365974011733099,0.8476658476658476
sample_dataset_simple_cnn_224,val,10,60.3,2.0205973278392446,1.6203114892922195,0.6299409592324728,0.5853615801210577,0.7133328930859142,0.617567260325881,0.6399202617051728,0.4939814814814816,0.6239176399516714,0.6387602422515141,0.5577289250476025,0.767721174764322,0.7338485101642996,0.5019493177387915,0.5530772408095828,0.537584297384725,0.8544226044226044
