epoch,train_loss,val_loss,val_mean_auc,val_auc_Atelectasis,val_auc_Cardiomegaly,val_auc_Effusion,val_auc_Infiltration,val_auc_Mass,val_auc_Nodule,val_auc_Pneumonia,val_auc_Pneumothorax,val_auc_Consolidation,val_auc_Edema,val_auc_Emphysema,val_auc_Fibrosis,val_auc_Pleural_Thickening,val_auc_Hernia
1,1.68799915580329,1.2793109722662472,0.6454870700145079,0.6201537639225215,0.6750971957276632,0.6948984958687529,0.6176344008484012,0.517577879894461,0.556007736266106,0.6119812239630614,0.6808117513274109,0.6980928463502694,0.81562361387817,0.6086472482481285,0.6632152578269225,0.5694836221621066,0.7075939439191351
2,1.618424548221346,1.1935135229322968,0.6687276577682665,0.6500405865708331,0.7011324854622065,0.7308603901806794,0.6295453903923258,0.5588745844623924,0.5710199689881883,0.6200956098470538,0.7365361486130231,0.7074446900858495,0.8171993298947461,0.6835278256544182,0.6493501002314194,0.5942628409264149,0.7122972574461811
3,1.5773335650133813,1.2078256946551829,0.6940197238815353,0.6629891165583908,0.7844074911796022,0.7702783717880777,0.6340732831830154,0.5963461740070348,0.569779111439713,0.607048772798422,0.7616476568311432,0.7181825620361681,0.8224481431303777,0.7351568297344817,0.6720732488444757,0.6428516660649534,0.7389937067456408
4,1.5353109123426387,1.167703383488594,0.7083041565272898,0.6894339752277152,0.809712379366343,0.7908075577294547,0.6358294378590199,0.619732768713459,0.5801750639875336,0.6124395538207138,0.7745683598815519,0.7258745094710807,0.8290906160186244,0.7676037193446661,0.6780881407291913,0.652821482793506,0.7500806264391975
5,1.4976184617725272,1.221514190102925,0.7100563924784653,0.6954419465772417,0.8197253885623582,0.8066384512812311,0.6419581986270898,0.62731224697846,0.5818810024414101,0.6093330618213222,0.736365288097335,0.7328668260021172,0.8371630258265427,0.7326247812870121,0.6937896788693543,0.66357712287575,0.7621124754512885
6,1.4630142279937555,1.1025008446131717,0.7269642627254514,0.7095176146167461,0.8337562509627959,0.809281708876071,0.6395945050642611,0.6668096549843597,0.5887382582554829,0.6175251905082018,0.8009482829871948,0.7330952512754269,0.8419352572345389,0.8050843591517706,0.679005135523198,0.6940825067642971,0.7581257019519756
7,1.4351331980716966,1.0531743768453177,0.7318556056985439,0.7141213326196617,0.8450847701471186,0.824100859211711,0.6411000815607407,0.6601721566434116,0.5910609351293485,0.6315955644587505,0.8059124649800069,0.7395405493888009,0.8420235095834202,0.8132664292020872,0.6848811002427451,0.6831619574418569,0.7699567691699556
8,1.4107429670040879,1.0680116632660337,0.737856776833419,0.7206874349497254,0.8535377616175106,0.8206605305257347,0.6494102140136111,0.6636432545406377,0.6089949657150046,0.6297639317556196,0.8061505866828549,0.7405475136680587,0.8459870163756924,0.8247042664256006,0.692346673613025,0.6964573796307035,0.7771033461540875
9,1.3880509954321936,1.0663562439537206,0.745111958066824,0.7262544745737998,0.850301545970237,0.8278020614005256,0.6505090947066059,0.6913985458184922,0.6238058976353494,0.6278456625956221,0.8086568140427678,0.7398749331254955,0.8446074273253394,0.833573305683823,0.7180057911486785,0.7109212300225748,0.7780106288862259
10,1.3669144050880904,1.0978079483854308,0.7452097558400533,0.7248294441432476,0.8469513217193854,0.8313625416980281,0.6523661164929383,0.7015656284746484,0.6172469828947267,0.617489615892285,0.8148891259180725,0.7334263602585961,0.8560369679709063,0.8305196275106224,0.719321572343427,0.7088591581331916,0.7780721183106722
11,1.3448746782343513,1.0264118616966034,0.7491769477167517,0.7318043187231679,0.857043661902057,0.833682078213031,0.6546044366692312,0.7029632666562347,0.6135575271674252,0.61668412685172,0.8177429881637412,0.7417769817484977,0.8576830369987922,0.841074809346036,0.7210155022078597,0.7044375612389308,0.7944069721478005
12,1.3298919813081127,1.0179743634477922,0.7534088649478736,0.7310249343009103,0.8620898998556571,0.8385765279186503,0.6528165864065046,0.7178911824688446,0.6217563711559345,0.6286134302762062,0.8155099737510366,0.7485059273487407,0.8542518201329069,0.8380437411302604,0.7193099950796629,0.7240997772826219,0.7952339421622945
13,1.312711487478906,0.9891460448163437,0.7535458318899978,0.7327323305527544,0.8620888140594323,0.8375794221461158,0.6527695247222687,0.7041590427748745,0.6302268893971952,0.6281876082572363,0.8234348948758945,0.7452662092000477,0.8554815141958976,0.8497942493874302,0.7190311340307376,0.7139446945268241,0.7949453183332601
14,1.2959845489023423,1.01844714116579,0.7522320140091056,0.7314942001182718,0.8641417832710019,0.8403674658586298,0.6514195359843175,0.7100971248954862,0.6293395036056366,0.6315242618880553,0.8226882173220358,0.7426124476342238,0.8577184528004039,0.8467051556172005,0.7028398272974262,0.7069937828959578,0.7933064369388305
15,1.2816086949990353,1.0577783006217225,0.7508388245148143,0.729577176590812,0.8678396659005018,0.8419935145536054,0.6577063170749424,0.7042603934108917,0.6277268187991137,0.6158780244557083,0.8143104944552272,0.7382490404299276,0.855950917144828,0.8542015236843639,0.7147037541794552,0.7088744417777267,0.7804714607502964
16,1.2701781753734098,1.0057526499912917,0.7565603264612875,0.7367636473938337,0.8659120382906039,0.843270787225386,0.6605144232260636,0.7336312912923149,0.6398311486436183,0.6181276588958621,0.8123619150628008,0.7516471785934836,0.8611964759554466,0.8573850590466708,0.7149184369183842,0.7055185901133314,0.7907659198002222
17,1.2551572755889016,1.01450766222489,0.7544839680104948,0.7336227823650712,0.867828400764672,0.8466043715753053,0.6550363733350906,0.722535526948424,0.6209836751564068,0.6112724917442357,0.8177443419376352,0.7496952011941276,0.8524108684777733,0.8591342293812861,0.7249883912762801,0.7132983504837659,0.7876205475068547
18,1.2411007467323887,1.026940908316738,0.7576416967187881,0.7356189763333263,0.8562854368260003,0.8456665474493601,0.6597039217941744,0.735193156236976,0.6409380302878606,0.6148140060942997,0.8235114899777981,0.749262799149856,0.85925741295801,0.8605599239238294,0.7158062368733334,0.7165737382548724,0.7937920779033361
19,1.228981505650151,1.0020016758613848,0.7556543748170563,0.7318677938397221,0.8680039604417291,0.8462120880867653,0.6623041882297813,0.7293648813978074,0.638835683607639,0.6040934729166769,0.8221879978681623,0.7511593748971033,0.8635559340898532,0.8589893655832695,0.716519622832881,0.7076760242385759,0.778390859408823
20,1.2219906677084715,0.9886698835163366,0.7551136302323217,0.7325542439406674,0.8696108709918002,0.8458860001011541,0.6575594961808263,0.7309741616559428,0.6415303802797737,0.6052973363199654,0.826612024077225,0.7463316255867529,0.8577471683152244,0.8551599457734519,0.7136852066478663,0.7074167160174264,0.7812256473644251
21,1.2105855602388869,0.964879704123314,0.7551539911826918,0.7333335721072822,0.8667890901909848,0.8389201341213386,0.6565529324968782,0.7187869736157827,0.6436217200773241,0.6054241475586,0.8236273445226308,0.7421404345301854,0.8637686203362894,0.8590205793298036,0.7257688498617648,0.7038846529219183,0.7905168248869034
22,1.1680194943983908,0.9619657895856991,0.7580900021378104,0.7355461815320077,0.8676826326215259,0.8471190022919121,0.6570572078365363,0.7344483581713401,0.6427210169204347,0.5998107185091046,0.8261828065015347,0.743640092206293,0.8629079206387403,0.8671333521949735,0.7175151416767654,0.7081965029736964,0.8032990958544834
23,1.15807087043689,0.9562942052978499,0.7588898350446305,0.7360314614555841,0.8680094572851158,0.8470779240193349,0.6579360257819031,0.7381274185360371,0.6435821530617747,0.604340195145169,0.8264846268286634,0.7453321977265674,0.8643420691672521,0.8671170783613104,0.7207609282448741,0.7069813890161457,0.7983347659950933
24,1.155065881493652,0.9498401249370748,0.7591951706422975,0.7370739910212994,0.8673838350729824,0.8463692848880043,0.6572489709531625,0.7412351388981416,0.6455292160532335,0.6016106100678617,0.8259995126413981,0.7455135203806753,0.8637383733273452,0.8679088937434714,0.7201467040662622,0.7106558854040038,0.798318452474322
25,1.1491971037747475,0.9333988939463538,0.7593807280458073,0.7373793466484687,0.8681402278679102,0.8469587067127192,0.6569074967673392,0.7395263800858007,0.6417057523316622,0.6057182514953605,0.8252522650774785,0.7457626708064337,0.8652036303302455,0.8678385961177303,0.7180878387136149,0.7123759375841644,0.8004730921023736
test,,0.9131015464711346,0.7646921067305679,0.7471520539232155,0.8675576562511812,0.8418871703043215,0.6790796641876169,0.7415462221589743,0.621670141163462,0.6708504951965114,0.8427360973566672,0.7815225718875529,0.8842215115476851,0.8856082006644072,0.7043734385074146,0.7003077042896192,0.7371765667893231
